,Unnamed: 0,Facies,Formation,Well Name,Depth,GR,DeltaPHI,PHIND,ILD,PE,NM_M,RELPOS
0,0,3,A1 SH,SHRIMPLIN,2793.0,77.45,9.9,11.915,21.281390459827122,4.6,1,1.0
1,1,3,A1 SH,SHRIMPLIN,2793.5,78.26,14.2,12.565,20.989398836235235,4.1,1,0.979
2,2,3,A1 SH,SHRIMPLIN,2794.0,79.05,14.8,13.05,20.701413487910425,3.6,1,0.957
3,3,3,A1 SH,SHRIMPLIN,2794.5,86.1,13.9,13.115,20.417379446695286,3.5,1,0.936
4,4,3,A1 SH,SHRIMPLIN,2795.0,74.58,13.5,13.3,19.67886289706845,3.4,1,0.915
5,5,3,A1 SH,SHRIMPLIN,2795.5,73.97,14.0,13.385,18.706821403658008,3.6,1,0.894
6,6,3,A1 SH,SHRIMPLIN,2796.0,73.72,15.6,13.93,18.197008586099834,3.7,1,0.872
7,7,3,A1 SH,SHRIMPLIN,2796.5,75.65,16.5,13.92,17.78279410038923,3.5,1,0.83
8,8,3,A1 SH,SHRIMPLIN,2797.0,73.79,16.2,13.98,17.701089583174213,3.4,1,0.809
9,9,3,A1 SH,SHRIMPLIN,2797.5,76.89,16.9,14.22,16.982436524617444,3.5,1,0.787
10,10,3,A1 SH,SHRIMPLIN,2798.0,76.11,14.8,13.375,15.848931924611126,3.6,1,0.7659999999999999
11,11,3,A1 SH,SHRIMPLIN,2798.5,74.95,13.3,12.69,14.655478409559105,3.7,1,0.745
12,12,3,A1 SH,SHRIMPLIN,2799.0,71.87,11.3,12.475,13.243415351946657,3.5,1,0.723
13,13,3,A1 SH,SHRIMPLIN,2799.5,83.42,13.3,14.93,11.857687481671602,3.4,1,0.7020000000000001
14,14,2,A1 SH,SHRIMPLIN,2800.0,90.1,14.3,16.555,10.914403364487566,3.2,1,0.6809999999999999
15,15,2,A1 SH,SHRIMPLIN,2800.5,78.15,11.8,15.96,8.590135215053959,3.1,1,0.638
16,16,2,A1 SH,SHRIMPLIN,2801.0,69.3,9.5,15.12,7.516228940182049,3.1,1,0.617
17,17,2,A1 SH,SHRIMPLIN,2801.5,63.54,8.8,15.19,6.854882264526613,3.0,1,0.596
18,18,2,A1 SH,SHRIMPLIN,2802.0,63.87,7.2,15.39,6.338697112569274,2.9,1,0.574
19,19,2,A1 SH,SHRIMPLIN,2802.5,58.32,6.6,14.885,5.91561634175474,2.8,1,0.5529999999999999
20,20,2,A1 SH,SHRIMPLIN,2803.0,56.61,5.5,14.8,5.470159628939717,3.0,1,0.532
21,21,2,A1 SH,SHRIMPLIN,2803.5,55.97,6.1,14.46,5.058246620031139,3.0,1,0.511
22,22,2,A1 SH,SHRIMPLIN,2804.0,63.67,6.0,14.745,4.875284901033864,3.0,1,0.489
23,23,2,A1 SH,SHRIMPLIN,2804.5,66.2,6.8,15.135,4.830588020397728,3.0,1,0.468
24,24,2,A1 SH,SHRIMPLIN,2805.0,61.27,6.1,15.48,4.920395356814512,3.0,1,0.447
25,25,3,A1 SH,SHRIMPLIN,2805.5,69.48,5.8,14.675,5.105049999754059,3.0,1,0.404
26,26,3,A1 SH,SHRIMPLIN,2806.0,76.37,5.2,13.635,5.105049999754059,3.0,1,0.383
27,27,2,A1 SH,SHRIMPLIN,2806.5,82.2,7.4,15.055,4.965923214503359,3.0,1,0.362
28,28,2,A1 SH,SHRIMPLIN,2807.0,90.25,11.5,20.23,4.920395356814512,3.1,1,0.34
29,29,2,A1 SH,SHRIMPLIN,2807.5,94.38,14.2,24.015,5.199959965335161,3.0,1,0.319
30,30,2,A1 SH,SHRIMPLIN,2808.0,87.44,13.9,23.58,5.675446054085471,3.1,1,0.298
31,31,2,A1 SH,SHRIMPLIN,2808.5,70.98,11.5,18.395,6.338697112569274,3.1,1,0.277
32,32,2,A1 SH,SHRIMPLIN,2809.0,64.72,10.3,13.815,7.550922276654338,3.1,1,0.255
33,33,3,A1 SH,SHRIMPLIN,2809.5,54.29,9.9,9.44,8.709635899560805,3.2,1,0.234
34,34,3,A1 SH,SHRIMPLIN,2810.0,41.46,11.1,5.255,9.68277856261249,3.4,1,0.213
35,35,3,A1 SH,SHRIMPLIN,2810.5,50.93,12.1,5.265,11.168632477805613,4.6,1,0.17
36,36,3,A1 SH,SHRIMPLIN,2811.0,72.79,11.3,11.76,12.189895989248662,4.1,1,0.149
37,37,3,A1 SH,SHRIMPLIN,2811.5,95.34,14.1,17.665,12.882495516931343,3.5,1,0.128
38,38,3,A1 SH,SHRIMPLIN,2812.0,102.35,15.8,20.145,13.061708881318419,3.2,1,0.106
39,39,3,A1 SH,SHRIMPLIN,2812.5,79.7,15.5,18.07,12.531411749414156,3.2,1,0.085
40,40,3,A1 SH,SHRIMPLIN,2813.0,66.69,14.0,15.72,11.481536214968829,3.3,1,0.064
41,41,2,A1 SH,SHRIMPLIN,2813.5,73.68,14.7,15.98,11.015393095414145,3.3,1,0.043
42,42,2,A1 SH,SHRIMPLIN,2814.0,71.05,17.2,18.02,11.748975549395297,3.3,1,0.021
43,43,8,A1 LM,SHRIMPLIN,2814.5,57.02,11.6,12.09,18.03017740859569,3.5,2,1.0
44,44,8,A1 LM,SHRIMPLIN,2815.0,43.29,7.3,6.705,25.351286304979084,4.0,2,0.981
45,45,8,A1 LM,SHRIMPLIN,2815.5,36.06,5.7,4.595,33.41950400261145,5.0,2,0.963
46,46,8,A1 LM,SHRIMPLIN,2816.0,46.0,5.1,4.62,44.25883723626264,5.5,2,0.944
47,47,6,A1 LM,SHRIMPLIN,2816.5,60.3,4.6,5.01,67.60829753919819,5.6,2,0.926
48,48,6,A1 LM,SHRIMPLIN,2817.0,75.22,4.4,5.295,99.54054173515274,5.5,2,0.907
49,49,6,A1 LM,SHRIMPLIN,2817.5,87.19,4.7,5.32,123.02687708123811,5.4,2,0.889
50,50,6,A1 LM,SHRIMPLIN,2818.0,86.86,5.2,5.785,134.27649611378655,5.4,2,0.87
51,51,6,A1 LM,SHRIMPLIN,2818.5,88.0,6.5,6.38,126.4736347471151,5.4,2,0.852
52,52,6,A1 LM,SHRIMPLIN,2819.0,75.47,7.8,7.215,108.64256236170644,5.5,2,0.833
53,53,6,A1 LM,SHRIMPLIN,2819.5,59.36,10.0,8.925,87.90225168308847,4.9,2,0.7959999999999999
54,54,6,A1 LM,SHRIMPLIN,2820.0,55.57,8.6,9.355,80.16780633876789,4.5,2,0.778
55,55,6,A1 LM,SHRIMPLIN,2820.5,46.96,5.4,9.12,70.46930689671471,4.3,2,0.759
56,56,6,A1 LM,SHRIMPLIN,2821.0,43.67,3.6,8.225,56.49369748123023,4.1,2,0.741
57,57,6,A1 LM,SHRIMPLIN,2821.5,55.23,5.1,7.875,44.87453899331318,4.3,2,0.722
58,58,6,A1 LM,SHRIMPLIN,2822.0,61.24,9.7,8.575,35.80964371026362,4.3,2,0.7040000000000001
59,59,6,A1 LM,SHRIMPLIN,2822.5,54.46,12.8,10.66,28.575905433749465,4.4,2,0.685
60,60,7,A1 LM,SHRIMPLIN,2823.0,43.23,14.9,12.375,25.003453616964322,4.0,2,0.667
61,61,7,A1 LM,SHRIMPLIN,2823.5,44.59,16.0,13.54,23.12064790175595,3.9,2,0.648
62,62,4,A1 LM,SHRIMPLIN,2824.0,47.48,16.5,12.89,22.490546058357804,3.7,2,0.63
63,63,4,A1 LM,SHRIMPLIN,2824.5,61.1,15.2,11.785,21.97859872784824,3.7,2,0.611
64,64,4,A1 LM,SHRIMPLIN,2825.0,64.82,9.1,8.97,22.908676527677734,4.5,2,0.574
65,65,4,A1 LM,SHRIMPLIN,2825.5,55.77,6.1,8.93,26.302679918953814,5.1,2,0.556
66,66,4,A1 LM,SHRIMPLIN,2826.0,62.22,4.3,9.215,30.760968147407095,5.5,2,0.537
67,67,6,A1 LM,SHRIMPLIN,2826.5,55.06,2.9,9.5,37.32501577957203,5.6,2,0.519
68,68,6,A1 LM,SHRIMPLIN,2827.0,71.02,3.1,8.89,47.64309868054161,5.4,2,0.5
69,69,6,A1 LM,SHRIMPLIN,2827.5,91.37,3.9,8.06,57.80960474057178,5.3,2,0.481
70,70,6,A1 LM,SHRIMPLIN,2828.0,115.42,5.2,6.875,66.37430704019083,5.3,2,0.463
71,71,6,A1 LM,SHRIMPLIN,2828.5,115.7,5.9,6.085,75.85775750291836,5.2,2,0.444
72,72,6,A1 LM,SHRIMPLIN,2829.0,107.11,6.0,6.135,87.90225168308847,5.6,2,0.426
