Well Name, Basin, Subbasin, Latitude (NAD27), Longitude (NAD27), Northing (NAD27), Easting (NAD27), Latitude (NAD83), Longitude (NAD83), Northing (NAD83), Easting (NAD83), Zone (UTM)
ABENAKI J-56, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.26239, -59.88417, 4904846, 269776, 44.26245, -59.883397, 4905067, 269845, 21
ABENAKI L-57, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.27625, -59.89431, 4906414, 269021, 44.276317, -59.893536, 4906636, 269090, 21
ADAMANT N-97, SCOTIAN BASIN, SABLE SUBBASIN, 43.946709, -60.241093, 4869439, 721400, 43.946778, -60.240334, 4869664, 721455, 20
ADVENTURE F-80, SCOTIAN BASIN, ORPHEUS GRABEN, 45.32432, -57.93967, 5019191, 426356, 45.324353, -57.938872, 5019412, 426421, 21
ALMA 1, SCOTIAN BASIN, SABLE SUBBASIN, 43.596311, -60.68942, 4829416, 686508, 43.596386, -60.688679, 4829641, 686562, 20
ALMA 2, SCOTIAN BASIN, SABLE SUBBASIN, 43.596335, -60.689396, 4829419, 686510, 43.596411, -60.688654, 4829644, 686564, 20
ALMA 3, SCOTIAN BASIN, SABLE SUBBASIN, 43.596306, -60.689358, 4829415, 686513, 43.596381, -60.688617, 4829641, 686567, 20
ALMA 4, SCOTIAN BASIN, SABLE SUBBASIN, 43.596292, -60.689385, 4829414, 686511, 43.596368, -60.688644, 4829640, 686565, 20
ALMA 4A, SCOTIAN BASIN, SABLE SUBBASIN, 43.596292, -60.689385, 4829414, 686511, 43.596368, -60.688644, 4829640, 686565, 20
ALMA F-67, SCOTIAN BASIN, SABLE SUBBASIN, 43.60514, -60.66569, 4830450, 688396, 43.605211, -60.66495, 4830675, 688450, 20
ALMA K-85, SCOTIAN BASIN, SABLE SUBBASIN, 43.57897, -60.71714, 4827428, 684323, 43.579047, -60.7164, 4827654, 684378, 20
ARCADIA J-16, SCOTIAN BASIN, SABLE SUBBASIN, 44.09544, -59.53302, 4885377, 297235, 44.095506, -59.532239, 4885598, 297304, 21
ARGO F-38, SCOTIAN BASIN, ORPHEUS GRABEN, 45.45645, -58.8401, 5035088, 356124, 45.456489, -58.839325, 5035308, 356189, 21
BALMORAL M-32, SCOTIAN BASIN, LAHAVE PLATFORM, 43.86525, -60.59631, 4859499, 693157, 43.865319, -60.595567, 4859724, 693211, 20
BANQUEREAU C-21, SCOTIAN BASIN, SABLE SUBBASIN, 44.16875, -58.56673, 4891593, 374741, 44.168811, -58.565922, 4891815, 374810, 21
BLUENOSE 2G-47, SCOTIAN BASIN, SABLE SUBBASIN, 44.10619, -59.3564, 4886151, 311408, 44.106256, -59.355614, 4886373, 311476, 21
BLUENOSE G-47, SCOTIAN BASIN, SABLE SUBBASIN, 44.10568, -59.35762, 4886097, 311309, 44.105744, -59.356839, 4886319, 311377, 21
BONNET P-23, SCOTIAN BASIN, LAHAVE PLATFORM, 42.38018, -65.05052, 4693811, 331187, 42.380267, -65.049881, 4694033, 331245, 20
CHEBUCTO K-90, SCOTIAN BASIN, SABLE SUBBASIN, 43.66243, -59.71431, 4837745, 281142, 43.662494, -59.713539, 4837966, 281211, 21
CHIPPEWA G-67, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.60569, -58.6624, 4940276, 368078, 44.605744, -58.661594, 4940498, 368146, 21
CHIPPEWA L-75, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.57663, -58.69737, 4937106, 365236, 44.576681, -58.696572, 4937327, 365303, 21
CITADEL H-52, SCOTIAN BASIN, SABLE SUBBASIN, 44.1903, -58.87774, 4894507, 349931, 44.190356, -58.876939, 4894729, 349999, 21
CITNALTA I-59, SCOTIAN BASIN, SABLE SUBBASIN, 44.14516, -59.62559, 4891132, 290001, 44.145225, -59.624806, 4891353, 290070, 21
COHASSET A-52, SCOTIAN BASIN, LAHAVE PLATFORM, 43.85227, -60.62875, 4857982, 690592, 43.852342, -60.628008, 4858208, 690646, 20
COHASSET CP1 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84922, -60.62777, 4857646, 690680, 43.849289, -60.627022, 4857871, 690735, 20
COHASSET CP10 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.849198, -60.627783, 4857643, 690679, 43.849269, -60.627033, 4857869, 690734, 20
COHASSET CP10A P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.849198, -60.627783, 4857643, 690679, 43.849269, -60.627033, 4857869, 690734, 20
COHASSET CP10B P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.849198, -60.627783, 4857643, 690679, 43.849269, -60.627033, 4857869, 690734, 20
COHASSET CP2 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84919, -60.62782, 4857642, 690676, 43.849261, -60.627072, 4857868, 690731, 20
COHASSET CP3 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84922, -60.62783, 4857646, 690675, 43.849289, -60.627086, 4857871, 690729, 20
COHASSET CP3A P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84922, -60.62783, 4857646, 690675, 43.849289, -60.627086, 4857871, 690729, 20
COHASSET CP4 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84922, -60.62783, 4857646, 690675, 43.849289, -60.627086, 4857871, 690729, 20
COHASSET CP5 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84919, -60.62775, 4857642, 690682, 43.849267, -60.627003, 4857869, 690736, 20
COHASSET CP6 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84918, -60.6278, 4857641, 690678, 43.849253, -60.62705, 4857867, 690732, 20
COHASSET CP6A P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84918, -60.6278, 4857641, 690678, 43.849253, -60.62705, 4857867, 690732, 20
COHASSET CP6B P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84918, -60.6278, 4857641, 690678, 43.849253, -60.62705, 4857867, 690732, 20
COHASSET CP6C P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.849198, -60.627833, 4857643, 690675, 43.849271, -60.627037, 4857869, 690733, 20
COHASSET CP7 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84917, -60.62777, 4857640, 690680, 43.849244, -60.627025, 4857866, 690735, 20
COHASSET CP7A P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84917, -60.62778, 4857640, 690680, 43.849167, -60.626944, 4857858, 690741, 20
COHASSET CP8 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84923, -60.62775, 4857647, 690682, 43.849306, -60.627008, 4857873, 690736, 20
COHASSET CP9 P-51, SCOTIAN BASIN, LAHAVE PLATFORM, 43.84921, -60.62781, 4857644, 690677, 43.849281, -60.627061, 4857870, 690731, 20
COHASSET D-42, SCOTIAN BASIN, LAHAVE PLATFORM, 43.85181, -60.62053, 4857950, 691254, 43.851883, -60.619778, 4858176, 691309, 20
COHASSET L-97, SCOTIAN BASIN, LAHAVE PLATFORM, 43.94366, -60.4996, 4868439, 700665, 43.943736, -60.498847, 4868665, 700720, 20
COHASSET P-42, SCOTIAN BASIN, LAHAVE PLATFORM, 43.86398, -60.60506, 4859338, 692458, 43.86405, -60.604317, 4859563, 692512, 20
COMO P-21, SCOTIAN BASIN, LAHAVE PLATFORM, 43.8461, -60.80536, 4856905, 676414, 43.846178, -60.804614, 4857131, 676469, 20
CREE E-35, SCOTIAN BASIN, SABLE SUBBASIN, 43.73909, -60.59886, 4845481, 693359, 43.739161, -60.598117, 4845706, 693413, 20
CREE I-34, SCOTIAN BASIN, SABLE SUBBASIN, 43.728182, -60.578513, 4844317, 695033, 43.728256, -60.577767, 4844543, 695087, 20
CROW F-52, SCOTIAN BASIN, CANSO RIDGE, 45.35672, -59.13967, 5024588, 332406, 45.356764, -59.1389, 5024809, 332472, 21
DAUNTLESS D-35, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.73563, -57.34628, 4953424, 472582, 44.735675, -57.345461, 4953646, 472647, 21
DEMASCOTA G-32, SCOTIAN BASIN, LAHAVE PLATFORM, 43.69089, -60.83167, 4839610, 674751, 43.690964, -60.830928, 4839836, 674805, 20
DOMINION J-14, SCOTIAN BASIN, LAHAVE PLATFORM, 43.892591, -60.531726, 4862689, 698256, 43.892662, -60.530976, 4862915, 698311, 20
DOMINION J-14A, SCOTIAN BASIN, LAHAVE PLATFORM, 43.892591, -60.531726, 4862689, 698256, 43.892662, -60.530976, 4862915, 698311, 20
DOVER A-43, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.36917, -60.10258, 4916744, 730862, 44.369236, -60.101811, 4916970, 730916, 20
EAGLE D-21, SCOTIAN BASIN, SABLE SUBBASIN, 43.8352, -59.56923, 4856562, 293436, 43.835269, -59.568447, 4856783, 293505, 21
EMMA N-03, SCOTIAN BASIN, SABLE SUBBASIN, 44.046639, -60.014961, 4881170, 739146, 44.046706, -60.014194, 4881396, 739200, 20
ERIE D-26, SCOTIAN BASIN, CANSO RIDGE, 44.91765, -59.57495, 4976811, 296758, 44.9177, -59.574189, 4977032, 296824, 21
ESPERANTO K-78, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.79202, -58.18868, 4960317, 405973, 44.792061, -58.187872, 4960538, 406039, 21
EURYDICE P-36, SCOTIAN BASIN, ORPHEUS GRABEN, 45.42981, -60.07972, 5034630, 728441, 45.429878, -60.078947, 5034857, 728494, 20
EVANGELINE H-98, SCOTIAN BASIN, SABLE SUBBASIN, 43.29079, -60.98072, 4794872, 663817, 43.290869, -60.979981, 4795097, 663872, 20
FOX I-22, SCOTIAN BASIN, CANSO RIDGE, 45.35933, -59.55445, 5025826, 299927, 45.359378, -59.553692, 5026046, 299993, 21
GLENELG E-58, SCOTIAN BASIN, SABLE SUBBASIN, 43.62161, -60.14772, 4833585, 730139, 43.621683, -60.146964, 4833811, 730193, 20
GLENELG E-58A, SCOTIAN BASIN, SABLE SUBBASIN, 43.62161, -60.14772, 4833585, 730139, 43.621683, -60.146964, 4833811, 730193, 20
GLENELG H-38, SCOTIAN BASIN, SABLE SUBBASIN, 43.62208, -60.08019, 4833827, 735586, 43.622156, -60.079436, 4834053, 735640, 20
GLENELG H-59, SCOTIAN BASIN, SABLE SUBBASIN, 43.637681, -60.129764, 4835420, 731526, 43.637752, -60.129006, 4835646, 731580, 20
GLENELG J-48, SCOTIAN BASIN, SABLE SUBBASIN, 43.62738, -60.1069, 4834340, 733410, 43.627453, -60.106142, 4834566, 733464, 20
GLENELG N-49, SCOTIAN BASIN, SABLE SUBBASIN, 43.64983, -60.11722, 4836805, 732491, 43.649906, -60.116464, 4837031, 732545, 20
GLOOSCAP C-63, SCOTIAN BASIN, MOHICAN GRABEN, 43.20273, -62.16576, 4783451, 567776, 43.202806, -62.16505, 4783675, 567831, 20
GRAND PRE G-08, SCOTIAN BASIN, LAHAVE PLATFORM, 43.956806, -60.507861, 4869879, 699958, 43.956889, -60.507111, 4870106, 700012, 20
HERCULES G-15, SCOTIAN BASIN, ORPHEUS GRABEN, 45.5724, -58.78696, 5047875, 360566, 45.572442, -58.786192, 5048096, 360630, 21
HESPER I-52, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.69453, -57.87562, 4949173, 430620, 44.694581, -57.874808, 4949395, 430686, 21
