,RPC,Description,Lithology,Vp,Vs,Rho,Rho_n
4817,104818,KIAMICHI FORMA. 4,sandstone,3045.6,1595.7,2108.0,2109.1205853328656
4892,104893,KIAMICHI REMOLD 3,sandstone,3000.6,1517.1,2126.0,2090.3420131307503
4651,104652,NAVAJO ARCO 2,sandstone,3363.6,2041.5,2162.0,2131.9899820207106
4751,104752,NAVAJO ARCO REMOL 1,sandstone,3195.3,1606.2,2160.0,2184.9392333485703
4597,104598,FERRON 82-3 1677.5,sandstone,4237.5,2448.6,2428.0,2472.2307675893594
4600,104601,FERRON 82-3 1677.5,sandstone,4319.1,2438.7,2428.0,2458.959707947306
4616,104617,FERRON 82-3 1677.5,sandstone,4533.0,2726.7,2428.0,2397.1364341499784
4699,104700,NAVAJO ARCO 3,sandstone,3538.5,2085.0,2084.0,2047.3621307528815
4673,104674,NAVAJO ARCO 2,sandstone,3524.7,2015.4,2162.0,2210.528783243676
4677,104678,NAVAJO ARCO 2,sandstone,3565.2,2080.8,2162.0,2141.620217448343
4656,104657,NAVAJO ARCO 2,sandstone,3442.8,2117.7,2162.0,2194.5843621625027
4844,104845,KIAMICHI FORMA. 1,sandstone,3352.2,1960.8,2066.0,2080.5501425324846
4665,104666,NAVAJO ARCO 2,sandstone,3340.2,1819.2,2162.0,2158.171755059004
4648,104649,NAVAJO ARCO 2,sandstone,3318.9,2092.8,2162.0,2191.4936709153862
4710,104711,NAVAJO ARCO REMOL 3,sandstone,4392.0,2887.0,2138.0,2178.400404536551
4776,104777,NAVAJO ARCO REMOL 3,sandstone,3380.1,1712.4,2045.0,2007.898143373988
4826,104827,KIAMICHI FORMA. 1,sandstone,3085.2,1758.0,2066.0,2115.6986031396796
4682,104683,NAVAJO ARCO 2,sandstone,3617.1,2107.8,2162.0,2187.030778460915
4711,104712,NAVAJO ARCO REMOL 3,sandstone,5406.0,3455.0,2138.0,2115.2518624501336
4700,104701,NAVAJO ARCO 3,sandstone,3620.7,2157.3,2084.0,2089.8801708473857
4580,104581,FERRON 82-3 1677.5,sandstone,4017.0,2642.1,2428.0,2474.6606719901524
4653,104654,NAVAJO ARCO 2,sandstone,3400.5,2148.6,2162.0,2132.700635594387
4603,104604,FERRON 82-3 1677.5,sandstone,4349.4,2600.4,2428.0,2431.9529499590567
4813,104814,KIAMICHI FORMA. 4,sandstone,3045.6,1734.6,2108.0,2060.486286257234
4755,104756,NAVAJO ARCO REMOL 1,sandstone,3206.7,1627.5,2160.0,2145.8217304211817
4827,104828,KIAMICHI FORMA. 1,sandstone,3096.6,1960.8,2066.0,2110.1461248325154
4614,104615,FERRON 82-3 1677.5,sandstone,4541.4,2733.0,2428.0,2430.3765278187384
4816,104817,KIAMICHI FORMA. 4,sandstone,3019.5,1595.7,2108.0,2071.6028539937406
4686,104687,NAVAJO ARCO 3,sandstone,3113.4,1890.3,2084.0,2079.68651896638
4607,104608,FERRON 82-3 1677.5,sandstone,4364.7,2606.1,2428.0,2397.5047737071463
4611,104612,FERRON 82-3 1677.5,sandstone,4558.2,2700.0,2428.0,2418.536611426539
4642,104643,NAVAJO ARCO 2,sandstone,3155.1,2013.3,2162.0,2191.9038371849147
4693,104694,NAVAJO ARCO 3,sandstone,3361.5,2025.6,2084.0,2081.9428142273014
4574,104575,FERRON 82-3 1677.5,sandstone,3627.9,2373.3,2428.0,2408.352556144572
4675,104676,NAVAJO ARCO 2,sandstone,3596.1,2018.7,2162.0,2136.3294328288202
4578,104579,FERRON 82-3 1677.5,sandstone,3534.3,2373.3,2428.0,2379.9303806516496
4652,104653,NAVAJO ARCO 2,sandstone,3381.9,2044.8,2162.0,2150.0109605706543
4663,104664,NAVAJO ARCO 2,sandstone,3149.7,1645.8,2162.0,2132.977829438585
4812,104813,KIAMICHI FORMA. 4,sandstone,3012.3,1709.4,2108.0,2128.9406987865987
4889,104890,KIAMICHI REMOLD 3,sandstone,3000.6,1509.9,2126.0,2078.2768503556917
4752,104753,NAVAJO ARCO REMOL 1,sandstone,3252.9,1627.5,2160.0,2192.9681547144646
4583,104584,FERRON 82-3 1677.5,sandstone,4166.1,2642.1,2428.0,2430.281433385316
4684,104685,NAVAJO ARCO 2,sandstone,3675.9,2111.4,2162.0,2137.4188772748907
4579,104580,FERRON 82-3 1677.5,sandstone,3836.1,2541.6,2428.0,2398.0405028281702
4688,104689,NAVAJO ARCO 3,sandstone,3343.5,2015.7,2084.0,2071.9835478721343
